apartment_type,bedroom,bathroom,toilet,location,price
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Ikota Gra, Ikota, Lekki, Lagos",3500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ikota Gra, Ikota, Lekki, Lagos",2500000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Kingdom Hall, Abijo, Lekki, Lagos",750000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Nicon Town, Lekki, Lagos",3500000
2 bedroom flat / apartment for rent,2.0,1.0,1.0,"  Borno Way, Adekunle, Yaba, Lagos",2000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Louis Solomon Road, Victoria Island (VI), Lagos",8000000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Madam Balikisu, Ologolo, Lekki, Lagos",4000000
3 bedroom flat / apartment for rent,3.0,4.0,4.0,"  Ikate, Lekki, Lagos",5000000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Ikate, Lekki, Lagos",4000000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Ologolo, Lekki, Lagos",2500000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Lekki Phase 1, Lekki, Lagos",6500000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Ikoyi, Lagos",12000000
4 bedroom flat / apartment for rent,4.0,4.0,4.0,"  Victoria Island (VI), Lagos",13000000
1 bedroom flat / apartment for rent,1.0,1.0,1.0,"  Chevron, Lekki, Lagos",1500000
3 bedroom flat / apartment for rent,3.0,4.0,4.0,"  Lekki Phase 1, Lekki, Lagos",6000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Lekki Phase 1, Lekki, Lagos",5000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Thomas Estate, Ajah, Lagos",600000
3 bedroom flat / apartment for rent,3.0,4.0,4.0,"  Ahmadu Bello Way, Eko Atlantic City, Lagos",45000000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  3rd Avenue, Banana Island, Ikoyi, Lagos",16000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Canna Land Estate, Sangotedo, Ajah, Lagos",1500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Victoria Island (VI), Lagos",25000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Victoria Island (VI), Lagos",5000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Olokonla, Ajah, Lagos",600000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Agungi, Lekki, Lagos",3000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Lekki Phase 1, Lekki, Lagos",8500000
4 bedroom flat / apartment for rent,4.0,5.0,5.0,"  Banana Island, Ikoyi, Lagos",40000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Thomas Estate ., Ajiwe, Ajah, Lagos",2500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Ikoyi, Lagos",9500000
Self contain (single rooms) for rent,1.0,1.0,2.0,"  Salem, Ikate, Lekki, Lagos",1800000
Self contain (single rooms) for rent,1.0,1.0,2.0,"  Salem, Ikate, Lekki, Lagos",1800000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Salem, Ikate, Lekki, Lagos",1200000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Salem, Ikate Elegushi, Lekki, Lagos",1000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Salem, Ikate Elegushi, Lekki, Lagos",2400000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Shomolu, Lagos",1200000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Close To Happyland Estate, Olokonla, Ajah, Lagos",1200000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Off Herbert Macaulay Way, Yaba, Lagos",3000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Chicken Republic Road, Agungi, Lekki, Lagos",750000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Igbe Laara, Ikorodu, Lagos",600000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Off Apple Junction, Amuwo Odofin, Lagos",1100000
1 bedroom mini flat (room and parlour) for rent,1.0,2.0,2.0,"  Off Alhaja Agbeke, Ago Palace, Isolo, Lagos",1000000
1 bedroom flat / apartment for rent,1.0,1.0,1.0,"  Lekki Scheme 2, Ajah, Lagos",350000
1 bedroom flat / apartment for rent,1.0,1.0,1.0,"  Lekki Scheme 2, Ajah, Lagos",550000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Lekki Phase 1, Lekki, Lagos",18000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Igbo Efon, Lekki, Lagos",2000000
4 bedroom flat / apartment for rent,4.0,4.0,5.0,"  Banana Island Rd, Ikoyi, Lagos",35000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ado Road, Ajah, Lagos",1200000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Ado Road, Ajah, Lagos",1000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Chevron Alternative, Lekki Expressway, Lekki, Lagos",3500000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Old Ikoyi, Ikoyi, Lagos",12000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Park View Estate, Ikoyi, Lagos",12000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Agungi, Lekki, Lagos",1600000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Ikota, Lekki, Lagos",1700000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Victoria Island (VI), Lagos",15000000
Self contain (single rooms) for rent,1.0,1.0,3.0,"  Lekki Phase 2, Lekki, Lagos",1500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Off Hakeem Dickson Street, Lekki Phase 1, Lekki, Lagos",4500000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Sunview Estate, By Lagos Business Schools, Blenco Shopping Mall, Ajah, Lagos",2300000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  25 Mosebolatan Street, Ago Palace, Isolo, Lagos",1350000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Serene And Secure Compound New Road Before Chevron Traffic Light, Lekki Expressway, Lekki, Lagos",900000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Osapa London, Osapa, Lekki, Lagos",1400000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Off Awolowo Way, Ikeja, Lagos",6500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Off Orchid Road, Lafiaji Community, Lekki, Lagos",1500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Off Orchid Road, Community, Lafiaji, Lekki, Lagos",1000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Orchid Road, Community., Lafiaji, Lekki, Lagos",1500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Ocean Bay Estate,, Lekki, Lagos",3000000
3 bedroom flat / apartment for rent,3.0,3.0,2.0,"  Unity Estate By Car Wash Bus Stop, Egbeda, Alimosho, Lagos",1200000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ado, Ajah, Lagos",1700000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Lekki Phase 1, Lekki, Lagos",3500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Banana Island Estate, Ikoyi, Lagos",9000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Chervon, Lekki, Lagos",4000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Elf Bustop, Lekki Phase 1, Lekki, Lagos",2500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Falomo, Ikoyi, Lagos",30000000
4 bedroom flat / apartment for rent,4.0,4.0,4.0,"  Banana Island, Ikoyi, Lagos",40000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Ikoyi, Lagos",12000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ajose Adeogun, Victoria Island (VI), Lagos",8000000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Victoria Island (VI), Lagos",15000000
2 bedroom flat / apartment for rent,2.0,1.0,1.0,"  Banana Island, Ikoyi, Lagos",10500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Victoria Island (VI), Lagos",16000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Oniru, Victoria Island (VI), Lagos",6000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Ikoyi, Lagos",17000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Agungi, Lekki, Lagos",3500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Lekki Phase 1, Lekki, Lagos",10000000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Chevy View Estate, Chevron Drive, Lekki, Lagos",3750000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Ikoyi, Lagos",12000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Agungi, Lekki, Lagos",1600000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  New Road Opposite Chevy View Estate, Igbo Efon, Lekki, Lagos",3200000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Off Freedom Way, Lekki Phase 1, Lekki, Lagos",5500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Banana Island, Ikoyi, Lagos",15000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Adekunle, Yaba, Lagos",1000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Huge Avenue, Alagomeji, Yaba, Lagos",600000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Beside Davitech Fillings Station, Oribanwa, Ibeju Lekki, Lagos",850000
1 bedroom mini flat (room and parlour) for rent,1.0,2.0,2.0,"  By Morocco, Jibowu, Yaba, Lagos",1200000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Off Bourdilon Road, Old Ikoyi, Ikoyi, Lagos",12000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Abraham Adesanya, Lbs, Ajah, Lagos",1200000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Off,awolowo Way, Ikoyi, Lagos",17000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Masanke Street Olowoora, Omole Phase 2, Ikeja, Lagos",2000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Off Jaiye Oyedotun, GRA Phase 2, Magodo, Lagos",2500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Victoria Island (VI), Lagos",16000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Abijo, Ajah, Lagos",1000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Off Providence Street, Lekki Phase 1, Lekki, Lagos",2000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Abijo, Main Gra, Ajah, Lagos",750000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Eleganza Gardens, Bus Stop, VGC, Lekki, Lagos",2000000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Lekki Phase 1, Lekki, Lagos",9000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Sabo, Yaba, Lagos",3000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Lekki Phase 1, Lekki, Lagos",6000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Banana Island, Ikoyi, Lagos",25000000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Banana Island, Ikoyi, Lagos",25000000
4 bedroom flat / apartment for rent,4.0,4.0,5.0,"  Victoria Island (VI), Lagos",16000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  University View Estate, Alasia, Ajah, Lagos",600000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Citadel View Estate, Abraham Adesanya, Ogombo, Ajah, Lagos",3500000
3 bedroom flat / apartment for rent,3.0,2.0,2.0,"  Canna Land Estate, Olokonla, Ajah, Lagos",1200000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Close To Abraham Adesanya Estate, Ajiwe, Ajah, Lagos",900000
5 bedroom flat / apartment for rent,5.0,5.0,5.0,"  Crown Estate, Ajah, Lagos",5000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Oniru, Victoria Island (VI), Lagos",6500000
3 bedroom flat / apartment for rent,3.0,2.0,2.0,"  Off International Airport Road Ajao Estate, Isolo, Lagos",1500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Elf, Lekki Phase 1, Lekki, Lagos",1500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Phase 1, Osborne, Ikoyi, Lagos",2500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Off Admiralty Road, Lekki Phase 1, Lekki, Lagos",6000000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Banana Island Road, Ikoyi, Lagos",15000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Valley View Estate, Ebute, Ikorodu, Lagos",1200000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Opposite Kara Market, Trinity House, Ibeju Lekki, Lagos",400000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Ikate Elegushi, Lekki, Lagos",75000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Ologolo, Lekki, Lagos",5000000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Ikate Elegushi, Lekki, Lagos",80000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Ahmadu Bello Way, Victoria Island (VI), Lagos",30000000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Lagos Homes, Ilaje, Ajah, Lagos",1600000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Lekki Phase 1, Lekki, Lagos",6000000
Self contain (single rooms) for rent,1.0,1.0,2.0,"  Ologunfe, Busstop, Awoyaya, Ibeju Lekki, Lagos",120000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Water Front Off 3rd Avenue, Banana Island, Ikoyi, Lagos",20000000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Alatushe, Ibeju Lekki, Lagos",600000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Off Bode Thomas, Surulere, Lagos",4000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Alagomeji, Yaba, Lagos",600000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Off General Paint, Olokonla, Ajah, Lagos",700000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Ikate, Lekki, Lagos",5000000
3 bedroom flat / apartment for rent,3.0,2.0,3.0,"  Off Admiralty, Lekki Phase 1, Lekki, Lagos",4500000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Off Orchid Road, Lekki, Lagos",1700000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Banana Island, Ikoyi, Lagos",10000000
3 bedroom flat / apartment for rent,3.0,2.0,3.0,"  Unity Estate By Car Wash Bus Stop, Egbeda, Alimosho, Lagos",1500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Off Elemu Bus Stop/community Bridge Ago, Oke Afa, Isolo, Lagos",1000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ikota Villa Estate, Ikota, Lekki, Lagos",2300000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Bakare Estate, Agungi, Lekki, Lagos",1800000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Evelyn Drive Off Taiwo Kolawole Close, First Unity Estate By Cooper, Badore, Ajah, Lagos",1000000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Thera Annex Road, Sangotedo, Ajah, Lagos",1500000
Self contain (single rooms) for rent,1.0,1.0,4.0,"  Orchid, Lekki Phase 2, Lekki, Lagos",700000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Agungi, Lekki, Lagos",800000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Close To Hopeville Estate, Sangotedo, Ajah, Lagos",1200000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Koloba, Ayobo, Lagos",350000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Victoria Island (VI), Lagos",7000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Banana Island, Ikoyi, Lagos",35000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Ologolo, Lekki, Lagos",1500000
3 bedroom flat / apartment for rent,3.0,4.0,4.0,"  Ogidan Estate, Sangotedo, Ajah, Lagos",2000000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Mayfair Gardens Estate, Awoyaya, Ibeju Lekki, Lagos",750000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Ajah, Lagos",2000000
1 bedroom mini flat (room and parlour) for rent,1.0,2.0,2.0,"  Admiralty, Lekki Phase 1, Lekki, Lagos",3500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Admiralty, Lekki Phase 1, Lekki, Lagos",4500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Spring 2, 18 Ayo Adeleye Street, Iroko Awe, Lekki, Lagos",3000000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Sangotedo, Ajah, Lagos",1500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Osborne, Ikoyi, Lagos",4500000
1 bedroom mini flat (room and parlour) for rent,1.0,2.0,2.0,"  Ado Road, Ajah, Lagos",1000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Lekki Phase 1, Lekki, Lagos",95000000
1 bedroom flat / apartment for rent,1.0,1.0,1.0,"  Ikate, Nicon Town, Lekki, Lagos",950000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Lekki 2nd Toll, By Eleganza Bus-stop, Ikota, Lekki, Lagos",3000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  30 Ayodele Odubiyi Street. Oriwu/ayodele Estate, Lekki, Lagos",1000000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  23 Western Garden Estate Lbs, Ajah, Lagos",1600000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Osapa, Lekki, Lagos",4500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Jubilee Estate, Abraham Adesanya Estate, Ajah, Lagos",1500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Hopeville Estate, Sangotedo, Ajah, Lagos",1600000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Off Ajose Adeogun, Victoria Island (VI), Lagos",8000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ikate, Lekki, Lagos",4000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Ikate, Lekki, Lagos",5000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Victoria Island (VI), Lagos",15000000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Fidiso Estate, Abijo, Lekki, Lagos",1200000
4 bedroom flat / apartment for rent,4.0,4.0,5.0,"  Amen Estate Phase 2, Eleko, Ibeju Lekki, Lagos",4000000
4 bedroom flat / apartment for rent,4.0,1.0,5.0,"  Banana Island, Ikoyi, Lagos",40000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Ologolo, Lekki, Lagos",1000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Lekki Right, Lekki Phase 1, Lekki, Lagos",4500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ikate Estate, Ikate, Lekki, Lagos",4000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Oniru, Victoria Island (VI), Lagos",10000000
Self contain (single rooms) for rent,1.0,1.0,2.0,"  Bera Estate, Chevron Drive, Lekki Expressway, Lekki, Lagos",1200000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Ikate Elegushi, Lekki, Lagos",7500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Lekki Conservation Road, Lekki, Lagos",3200000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Buena Vista Estate, Orchid Road, Opposite Lekki Second Toll Gate,, Lekki, Lagos",2100000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Lekki Phase 1, Lekki, Lagos",4000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Green Land Estate, Ogombo, Ajah, Lagos",800000
1 bedroom flat / apartment for rent,1.0,1.0,1.0,"  Banana Island, Ikoyi, Lagos",6500000
1 bedroom flat / apartment for rent,1.0,1.0,1.0,"  Banana Island, Ikoyi, Lagos",6500000
3 bedroom flat / apartment for rent,3.0,4.0,3.0,"  Banana Island Estate, Ikoyi, Lagos",25000000
Self contain (single rooms) for rent,1.0,1.0,4.0,"  Orchid, Lekki Phase 2, Lekki, Lagos",1300000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ilasan, Lekki, Lagos",4000000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Off Herbert Macaulay Way, Yaba, Lagos",2000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Emmanuel Kolawole Street, Morocco, Fola Agoro, Yaba, Lagos",2500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Off Herbert Macaulay Way, Yaba, Lagos",2000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Amuwo Odofin, Lagos",2200000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Lekki Phase 1, Lekki, Lagos",8000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Off Herbert Macaulay Way, Yaba, Lagos",1700000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Okun-Ajah, Ajah, Lagos",1400000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Villa, Ikota, Lekki, Lagos",1400000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Riverside Estate, Banana Island Road, Ikoyi, Lagos",15000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ikota, Lekki, Lagos",3000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Off Omorinre Johnson, Lekki Phase 1, Lekki, Lagos",1300000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Banana Island Estate, Ikoyi, Lagos",25000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Banana Island Estate, Ikoyi, Lagos",15000000
4 bedroom flat / apartment for rent,4.0,3.0,4.0,"  Abraham Adesanya, Ajah, Lagos",3500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Lekki Scheme 2, Ajah, Lagos",1500000
3 bedroom flat / apartment for rent,3.0,4.0,3.0,"  Banana Island, Ikoyi, Lagos",15500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Lekki Phase 1, Lekki, Lagos",2500000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  34 West-view Estate Lbs, Ajah, Lagos",2000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Osapa, Lekki, Lagos",2500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Idado, Lekki, Lagos",3500000
1 bedroom flat / apartment for rent,1.0,1.0,1.0,"  Ologolo, Lekki, Lagos",1700000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ogunfayo Estate, By Mayfair Garden, Oribanwa, Ibeju Lekki, Lagos",1000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Happyland Estate, Olokonla, Ajah, Lagos",2000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Onosa, Ibeju Lekki, Lagos",450000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Lekki Scheme 2, Lekki, Lagos",2500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Ilasan, Lekki, Lagos",2300000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Hopeville Estate, Sangotedo, Ajah, Lagos",2000000
